index,date,title,location,description,x,y,filmid
165,10/13/2014,The 9th Life of Louis Drax,244 Marina Blvd - South Side of Street,Scenic view of Marina District and Bay. B-Roll only,-122.490524,37.621002,35
408,7/18/2015,Summertime,"SFO, International terminal, G garage roof",Arrivals & departures from SFO & SFO for JFK,-122.379009,37.62119,31
138,6/27/2013,Quitters,Clement St btwn 6th Ave & 7th Ave,"Character walks down street, goes in grocery store goes in Green Apple",-122.4051014,37.628053,23
394,2/27/2013,American Brawler,"629 Madrid Street, San Francisco, CA 94112 (Residence)","Interior dialogue, backyard dialogue and action, exterior establishing shots",-122.434075,37.719487,3
336,10/22/2014,Americana,John Shelley Drive John Mclaren Park,Night driving scene inside and outside the car on closed road,-122.4206972,37.7196766,4
89,2/18/2014,The Diary of a Teenage Girl,"Street Car, leaves MME yard goes to 11th st SPUR",Character rides streetcar in 1976,-122.4475,37.721879,36
110,11/6/2014,Cardinal X,1559 Underwood Avenue between Lane and Keith,Actors talking inside and outside of the house,-122.391258,37.729145,7
111,11/6/2014,Cardinal X,1465 Revere Avenue between Keith and Jennings,Actors talking inside and outside of the house,-122.387847,37.730049,7
333,10/20/2014,Americana,"St. Francis Episcopal Church, 399 San Fernando Way, SF 94127",Main character enters a day care centre at a church to speak to the teacher,-122.4697368,37.730393,4
271,5/31/2015,Octohorse,Monterey and Foerster,A woman walks down a street,-122.4488744,37.7315102,22
112,11/9/2014,Cardinal X,1601 Lane St.,Actors talking inside YMCA,-122.3897624,37.7317977,7
339,10/27/2014,Americana,"The San Francisco School, 300 Gavin St. SF",Main character goes to his sons grade school to visit his son and his sons teacher,-122.411698,37.73278,4
84,2/12/2014,The Diary of a Teenage Girl,"Higher Grounds Coffee Shop, 691 Chenery",3 characters talk about their family,-122.4337234,37.7343559,36
35,12/12/2014,Radio Dreams,100 Alemany Blvd. Farmers Market Parking Lot,Mamid sitting in car & eating burger,-122.409943,37.735715,24
34,12/12/2014,Radio Dreams,"100 Alemany Blvd., San Francisco, CA",Jamshid & Mamid driving around,-122.4099429,37.7357188,24
95,2/21/2014,The Diary of a Teenage Girl,St. Francis woods (EXT Steet & House) TBD,Characters act like teenagers and get yelled @ by a neighbor,-122.466026,37.736241,36
67,5/7/2015,"Smile Again, Jenny  Lee","Ocean Beach Motel, 2690 46th Ave",The main character finds out where her father lives and goes visit him,-122.5039215,37.7364998,29
116,11/20/2014,Cardinal X,100 Alemany Blvd,Actors entering bus,-122.4089478,37.7368234,7
53,4/23/2015,"Smile Again, Jenny  Lee",1328 Portola Dr,The main character's father's apartments,-122.464447,37.7401772,29
51,4/21/2015,"Smile Again, Jenny  Lee",1328 Portola Dr,The main character's father's apartments,-122.464446,37.740178,29
52,4/22/2015,"Smile Again, Jenny  Lee",1328 Portola Dr,The main character's father's apartments,-122.464446,37.740178,29
254,9/27/2013,Godzilla,Pier #7,Enviro cam on tripod. Various positions on actual pier,-122.3760274,37.7413757,14
107,10/31/2014,Cardinal X,3639 Taraval St. *47th,Actors talking in the bar,-122.5053253,37.7415733,7
64,5/5/2015,"Smile Again, Jenny  Lee","New Taraval Caf¨¦, 1054 Taraval St",Main character eats in a diner,-122.4773441,37.7430133,29
343,11/4/2014,Americana,"Bernal Heights Park, ",3 couples and child watch the sun set from a hillside park,-122.4148711,37.7431163,4
154,7/9/2013,Quitters, 1536 Noe St,Girl packs up her room as family is moving out,-122.4315262,37.7444687,23
320,6/28/2013,The Other Barrio,000 Napoleon St,3 men talking politics,-122.3945999,37.7472992,37
56,4/25/2015,"Smile Again, Jenny  Lee",333 Pacheco St *Lopez Avenue,Character visits another character,-122.462806,37.748092,29
234,10/24/2013,For Here or To Go?,Market St./Portola Dr. intersection,"Couple admiring the view of SF (brief shoot sometime within this window, 15 mins approx)",-122.4432588,37.7500805,13
126,6/2/2013,Quitters,24 Hill St @ Valencia,"Various scenes inside the house (family trip planning). Couple scenes in the driveway where the family is loading up the car for a trip, couple scenes of family entering and exiting the house",-122.4206639,37.7521074,23
129,6/3/2013,Quitters,24 Hill St @ Valencia,"Interior scenes of family talking. EXT family in driveway, on front steps",-122.4206639,37.7521074,23
130,6/10/2013,Quitters,24 Hill St @ Valencia,"Inside house, family talking. EXT family entering/exiting",-122.4206639,37.7521074,23
131,6/11/2013,Quitters,24 Hill St @ Valencia,Various scenes inside the house,-122.4206639,37.7521074,23
133,6/12/2013,Quitters,24 Hill St @ Valencia,Characters talk in driveway. Characters talk in kitchen,-122.4206639,37.7521074,23
134,6/13/2013,Quitters,24 Hill St @ Valencia,Characters talking inside. Beginning wrap of set,-122.4206639,37.7521074,23
167,2/6/2015,The 9th Life of Louis Drax,23rd and Utah Streets,"This shot - and all other shots - are basic establishing shots, no actors, just a tripod and camera. Scenic view Mission area.",-122.4054563,37.7543434,35
166,2/6/2015,The 9th Life of Louis Drax,23rd and Potrero Streets,"This shot - and all other shots - are basic establishing shots, no actors, just a tripod and camera. Scenic view Mission area.",-122.4065583,37.7545632,35
39,4/7/2015,"Smile Again, Jenny  Lee",475 Diamond St,Main character's apartment,-122.4365705,37.7547614,29
40,4/8/2015,"Smile Again, Jenny  Lee",475 Diamond St,Main character's apartment,-122.4365705,37.7547614,29
135,6/14/2013,Quitters,4015 21st ST @ Diamond,Two characters talk inside the house,-122.436096,37.7558269,23
136,6/17/2013,Quitters,4015 21st ST @ Diamond,We would like to permit 5 of 8 days to go til IA to complete some EXT night scenes,-122.436096,37.7558269,23
140,6/17/2013,Quitters,4015 21st St @ Diamond,"Most scenes are characters inside the house, a few take place in the driveway",-122.436096,37.7558269,23
141,6/23/2013,Quitters,4015 21st St @ Diamond,"Most scenes are characters inside the house, a few take place in the driveway (Sunday times pending sig survey)",-122.436096,37.7558269,23
163,10/13/2014,The 9th Life of Louis Drax,1000 Potrero Avenue - West Side of Street,Scenic view Potreo Avenue - Mission Neighborhood. B-Roll only,-122.406936,37.755981,35
60,4/30/2015,"Smile Again, Jenny  Lee","Gaspare's Pizza House, 5546 Geary Blvd *20th Avenue",Two character have dinner in restaurant,-122.47768,37.7560609,29
145,7/1/2013,Quitters,24 Hill St ,character @ doorstep interior scenes where people talk,-122.422226,37.7562752,23
128,6/16/2013,Quitters,4015 21st St @ Collingwood,"Various scenes inside theAbernathy house where family deals with Clark visiting. Cocktail party scene at night on back porch. EXT driveway, car pulls up to Abernathy house at night",-122.435678,37.7563466,23
303,3/13/2015,Steve Jobs,21st & Collingswood St,"Itc, Ptc Fake Phone Booth, B6 Actors Camera in Street & Sidewalk",-122.435678,37.7563466,30
305,3/13/2015,Steve Jobs,21st St & Sanchez St,"Itc, Ptc, Camera in Street & Sidewalk Picture Cars & Actors in Street",-122.430094,37.7563794,30
132,6/11/2013,Quitters,21st St and Sanchez,Main character runs up hill @ night,-122.430094,37.7563794,23
127,6/4/2013,Quitters,21st St and Sanchez,"Clark runs around block, camera stays on corner of 21st and Sanchez as Clark runs by",-122.4300903,37.7563801,23
324,12/13/2013,Sweet Kitty,Valencia Street Btw 20th & 21st,Markey walks down the street & sees her reflection in a window,-122.4211027,37.7569077,32
153,7/9/2013,Quitters,923 Vermont St,Two students arive @ teachers apt and talk inside,-122.403544,37.757972,23
241,9/14/2014,I Am Michael,4100 20th Street,Interior shower scenes,-122.4326935,37.7580299,15
382,1/23/2015,Terminator Genesys,"Dolores Park - SW Corner, 20th St. @ Church St.","View of downtown over Dolores Park. Mushroom cloud in the BG, radioactive burn/sizzle on everything (But no wave of destruction)",-122.4280549,37.7580604,33
117,11/20/2014,Cardinal X,"812 22nd St. San Francisco, CA 94107 *Tennessee",Actors leave building,-122.389704,37.758073,7
244,9/13/2014,I Am Michael,Sanchez/ Cumberland steps & sidewalks,Phone call scene,-122.4303331,37.7587708,15
236,10/24/2013,For Here or To Go?,"3290 20th St, San Francisco",Couple admiring street art (brief shoot - approx 15 mins within this window). Non-dialogue.,-122.4145197,37.7589218,13
148,7/2/2013,Quitters,"Tank Hill, Twin Peaks @ Clarendon",Two kids walk a dog,-122.4484576,37.7590229,23
